,,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC
Technology,,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
Country code,Year,,,,,,,,,,
CHL,2017,7.56,6.97,7.56,8.52,5.8,6.49,7.45,7.45,6.76,8.23
CHL,2018,8.46,7.86,8.46,9.41,6.69,6.69,8.34,8.34,7.650000000000001,8.44
CHL,2019,7.45,6.860000000000001,7.45,8.4,5.68,5.68,7.33,7.33,5.95,7.43
CHL,2020,6.34,5.75,6.34,7.3,4.58,4.58,6.22,6.22,4.85,6.32
CHL,2021,6.68,6.09,6.68,7.64,4.92,4.92,6.56,6.56,5.19,6.66
CHL,2022,8.9,8.31,8.9,9.86,7.13,7.13,8.79,8.79,7.4,8.19
CHL,2023,9.21,8.62,9.21,10.17,7.45,7.45,9.1,9.1,7.71,8.5
CHN,2015,8.07,7.470000000000001,8.07,9.05,6.27,7.680000000000001,7.949999999999999,7.949999999999999,7.25,8.76
CHN,2016,7.7,7.1,7.7,8.68,5.9,7.31,7.58,7.58,6.88,8.39
CHN,2017,7.81,7.2,7.81,8.78,6.0,7.410000000000001,7.69,7.69,6.9799999999999995,8.49
CHN,2018,8.61,8.0,8.61,9.58,6.8,8.21,8.49,8.49,7.78,8.59
CHN,2019,7.58,6.980000000000001,7.58,8.56,5.78,7.19,7.459999999999999,7.459999999999999,6.76,7.56
CHN,2020,6.46,5.86,6.46,7.43,4.66,5.36,6.34,6.34,5.63,6.44
CHN,2021,6.81,6.2,6.81,7.78,5.01,5.71,6.69,6.69,5.28,6.79
CHN,2022,8.84,8.24,8.84,9.81,7.04,7.74,8.72,8.72,7.31,8.82
CHN,2023,9.2,8.59,9.2,10.17,7.39,7.39,9.08,9.08,7.67,9.18
CIV,2015,12.78,12.15,12.78,13.79,10.91,12.37,12.65,12.65,12.65,13.49
CIV,2016,12.34,11.71,12.34,13.35,10.46,11.93,12.21,12.21,12.21,13.05
CIV,2017,10.89,10.28,10.89,11.89,9.06,10.49,10.77,10.77,10.77,11.59
CIV,2018,12.37,11.76,12.37,13.37,10.53,11.97,12.25,12.25,12.25,13.07
CIV,2019,10.27,9.66,10.27,11.26,8.43,9.87,10.15,10.15,10.15,10.97
CIV,2020,9.02,8.4,9.02,10.01,7.19,8.62,8.9,8.9,8.9,9.71
CIV,2021,9.38,8.77,9.38,10.37,7.55,8.98,9.26,9.26,9.26,10.08
CIV,2022,13.48,12.86,13.48,14.48,11.63,13.07,13.35,13.35,13.35,14.18
CIV,2023,13.06,12.44,13.06,14.05,11.21,12.65,12.93,12.93,12.93,13.75
CMR,2015,15.139999999999999,14.54,15.139999999999999,16.12,13.33,14.75,15.020000000000001,15.020000000000001,15.020000000000001,15.83
CMR,2016,14.67,14.06,14.67,15.64,12.85,14.27,14.54,14.54,14.54,15.35
CMR,2017,12.209999999999999,11.62,12.209999999999999,13.15,10.47,11.83,12.09,12.09,12.09,12.87
CMR,2018,14.07,13.479999999999999,14.07,15.01,12.32,13.69,13.949999999999998,13.949999999999998,13.949999999999998,14.729999999999999
CMR,2019,11.37,10.78,11.37,12.31,9.63,10.99,11.25,11.25,11.25,12.03
CMR,2020,10.09,9.51,10.09,11.02,8.36,9.71,9.97,9.97,9.97,10.74
CMR,2021,10.42,9.84,10.42,11.36,8.7,10.05,10.31,10.31,10.31,11.08
CMR,2022,15.7,15.11,15.7,16.65,13.94,15.31,15.58,15.58,15.58,16.37
CMR,2023,17.49,16.89,17.49,18.46,15.71,17.1,17.37,17.37,17.37,18.17
COD,2015,17.11,16.48,17.11,18.13,15.24,16.7,16.99,16.99,16.99,17.82
COD,2016,16.6,15.97,16.6,17.62,14.73,16.19,16.48,16.48,16.48,17.32
COD,2017,13.6,12.99,13.6,14.570000000000002,11.790000000000001,13.2,13.48,13.48,13.48,14.28
COD,2018,15.74,15.13,15.74,16.72,13.93,15.339999999999998,15.62,15.62,15.62,16.43
COD,2019,13.55,12.940000000000001,13.55,14.529999999999998,11.73,13.15,13.430000000000001,13.430000000000001,13.430000000000001,14.24
COD,2020,12.14,11.54,12.14,13.12,10.34,11.75,12.02,12.02,12.02,12.83
COD,2021,12.5,11.9,12.5,13.479999999999999,10.699999999999998,12.11,12.38,12.38,12.38,13.19
COD,2022,17.72,17.11,17.72,18.71,15.9,17.32,17.6,17.6,17.6,18.41
COD,2023,16.47,15.87,16.47,17.45,14.66,16.08,16.35,16.35,16.35,17.16
COG,2015,15.619999999999997,14.99,15.619999999999997,16.64,13.75,15.21,15.5,15.5,15.5,16.33
COG,2016,15.14,14.51,15.14,16.15,13.26,14.72,15.01,15.01,15.01,15.85
COG,2017,16.62,16.0,16.62,17.63,14.76,16.22,16.5,16.5,16.5,17.33
COG,2018,19.43,18.8,19.43,20.45,17.55,19.02,19.31,19.31,19.31,20.15
COG,2019,15.23,14.61,15.23,16.24,13.37,14.819999999999999,15.11,15.11,15.11,15.940000000000001
COG,2020,13.73,13.11,13.73,14.73,11.88,13.33,13.61,13.61,13.61,14.43
COG,2021,14.11,13.49,14.11,15.11,12.26,13.71,13.99,13.99,13.99,14.81
COG,2022,22.29,21.65,22.29,23.31,20.39,21.88,22.16,22.16,22.16,23.01
COG,2023,20.29,19.66,20.29,21.3,18.41,19.88,20.16,20.16,20.16,21.0
COK,2015,16.57,15.82,16.57,17.78,16.08,16.08,16.42,16.42,16.42,17.42
COK,2016,16.05,15.3,16.05,17.26,15.56,15.56,15.9,15.9,15.9,16.9
COK,2017,14.19,13.44,14.19,15.4,13.7,11.95,14.040000000000001,14.040000000000001,14.040000000000001,15.040000000000001
COK,2018,16.14,15.39,16.14,17.35,15.65,13.9,15.99,15.99,15.99,16.99
COK,2019,13.279999999999998,12.53,13.279999999999998,14.49,12.79,11.04,13.13,13.13,13.13,14.13
COK,2020,11.78,11.03,11.78,12.99,11.29,9.54,11.63,11.63,11.63,12.63
COK,2021,12.28,11.53,12.28,13.49,11.79,10.04,12.13,12.13,12.13,13.13
COK,2022,17.74,16.99,17.74,18.95,17.25,15.5,17.59,17.59,17.59,18.59
COK,2023,17.09,16.34,17.09,18.3,16.6,14.85,16.94,16.94,16.94,17.94
COL,2015,9.28,8.72,9.28,10.19,7.610000000000001,8.92,9.17,9.17,9.17,9.92
COL,2016,8.9,8.34,8.9,9.81,7.23,8.54,8.79,8.79,8.79,9.54
COL,2017,8.3,7.74,8.3,9.19,6.65,7.94,8.19,8.19,8.19,8.92
COL,2018,9.3,8.75,9.3,10.19,7.650000000000001,8.94,9.19,9.19,9.19,9.93
COL,2019,7.95,7.389999999999999,7.95,8.84,6.3,7.590000000000001,7.840000000000001,7.840000000000001,7.840000000000001,8.57
COL,2020,6.86,6.31,6.86,7.75,5.22,6.5,6.75,6.75,6.75,7.49
COL,2021,7.169999999999999,6.62,7.169999999999999,8.06,5.53,6.81,7.06,7.06,7.06,7.8
COL,2022,9.84,9.29,9.84,10.74,8.19,9.48,9.73,9.73,9.73,10.47
COL,2023,9.84,9.28,9.84,10.73,8.19,9.47,9.72,9.72,9.72,10.46
CPV,2015,16.15,15.5,16.15,17.21,15.729999999999999,15.729999999999999,16.02,16.02,14.5,15.369999999999997
CPV,2016,15.66,15.01,15.66,16.71,15.23,15.23,15.53,15.53,14.01,14.88
CPV,2017,13.23,12.6,13.23,14.26,12.820000000000002,12.820000000000002,13.11,13.11,11.62,12.47
CPV,2018,15.21,14.57,15.21,16.24,14.79,14.79,15.08,15.08,13.589999999999998,14.44
CPV,2019,12.32,11.68,12.32,13.34,11.9,11.9,12.19,12.19,10.71,11.55
CPV,2020,10.96,10.32,10.96,11.98,10.54,10.54,10.83,10.83,9.35,10.2
CPV,2021,12.29,11.65,12.29,13.31,11.87,11.87,12.160000000000002,12.160000000000002,10.67,11.520000000000001
CPV,2022,18.65,18.0,18.65,19.69,18.23,18.23,18.52,18.52,17.01,17.88
CPV,2023,17.4,16.76,17.4,18.44,16.98,16.98,17.27,17.27,15.77,16.63
CRI,2015,10.6,8.62,9.21,10.17,8.83,10.21,9.1,9.1,9.1,9.89
CRI,2016,10.19,8.22,8.81,9.76,8.42,9.8,8.69,8.69,8.69,9.48
CRI,2017,9.83,7.88,8.46,9.41,8.08,9.45,8.35,8.35,8.35,9.13
CRI,2018,13.07,11.08,11.68,12.64,11.29,12.68,11.56,11.56,11.56,12.35
CRI,2019,10.7,8.72,9.31,10.27,8.93,10.31,9.19,9.19,9.19,9.98
CRI,2020,10.33,8.35,8.95,9.91,8.56,9.95,8.83,8.83,8.83,9.62
CRI,2021,10.69,8.71,9.3,10.26,8.91,10.3,9.18,9.18,9.18,9.97
CRI,2022,16.05,14.04,14.64,15.62,14.25,15.66,14.52,14.52,14.52,15.33
CRI,2023,13.73,11.75,12.34,13.3,11.95,13.34,12.22,12.22,12.22,13.02
CUB,2015,20.27,20.38,21.01,22.04,20.6,20.6,20.89,20.89,20.89,21.73
CUB,2016,19.71,19.81,20.45,21.47,20.03,20.03,20.32,20.32,20.32,21.17
CUB,2017,15.16,15.26,15.86,16.81,15.47,15.47,15.74,15.74,15.74,16.53
CUB,2018,18.58,17.98,18.58,19.55,18.19,18.19,18.46,18.46,18.46,19.26
CUB,2019,14.529999999999998,13.930000000000001,14.529999999999998,15.48,14.14,14.14,14.41,14.41,14.41,15.2
CUB,2020,13.07,12.48,13.07,14.02,12.68,12.68,12.95,12.95,12.95,13.73
CUB,2021,16.24,15.64,16.24,17.21,15.85,15.85,16.12,16.12,16.12,16.92
CUB,2022,26.73,26.11,26.73,27.75,26.32,26.32,26.61,26.61,26.61,27.45
CUB,2023,23.77,23.15,23.77,24.76,23.36,23.36,23.64,23.64,23.64,24.47
CUW,2015,10.82,10.07,10.82,12.03,10.33,10.33,10.67,10.67,10.67,11.67
CUW,2016,10.39,9.64,10.39,11.6,9.9,9.9,10.24,10.24,10.24,11.24
CUW,2017,10.15,9.4,10.15,11.36,9.66,9.66,10.0,10.0,10.0,11.0
CUW,2018,11.229999999999999,10.48,11.229999999999999,12.44,10.74,10.74,11.08,11.08,11.08,12.08
CUW,2019,10.21,9.46,10.21,11.42,9.72,9.72,10.06,10.06,10.06,11.06
CUW,2020,8.4,7.65,8.4,9.61,7.91,7.91,8.25,8.25,8.25,9.25
CUW,2021,9.59,8.84,9.59,10.800000000000002,9.1,9.1,9.44,9.44,9.44,10.44
CUW,2022,12.97,12.22,12.97,14.18,12.48,12.48,12.82,12.82,12.82,13.82
CUW,2023,13.57,12.82,13.57,14.78,13.08,13.08,13.42,13.42,13.42,14.42
CYM,2015,9.79,9.04,9.79,11.0,9.3,9.3,9.64,9.64,9.64,10.64
CYM,2016,9.36,8.61,9.36,10.57,8.87,8.87,9.21,9.21,9.21,10.21
CYM,2017,9.429999999999998,8.68,9.429999999999998,10.64,8.94,8.94,9.28,9.28,9.28,10.28
CYM,2018,10.34,9.59,10.34,11.550000000000002,9.85,9.85,10.19,10.19,10.19,11.19
CYM,2019,9.16,8.41,9.16,10.37,8.67,8.67,9.01,9.01,9.01,10.01
CYM,2020,7.79,7.04,7.79,9.0,7.3,7.3,7.64,7.64,7.64,8.64
CYM,2021,8.25,7.5,8.25,9.46,7.760000000000001,7.760000000000001,8.1,8.1,8.1,9.1
CYM,2022,10.58,9.83,10.58,11.79,10.09,10.09,10.43,10.43,10.43,11.43
CYM,2023,11.14,10.39,11.14,12.35,10.65,10.65,10.99,10.99,10.99,11.99
CYP,2015,15.41,14.720000000000002,15.41,16.52,14.96,14.96,15.270000000000001,15.270000000000001,14.46,16.19
CYP,2016,14.92,14.23,14.92,16.03,14.47,13.66,14.78,14.78,13.97,15.7
CYP,2017,11.99,11.31,11.99,13.09,11.55,10.75,11.86,11.86,11.06,12.77
CYP,2018,12.75,12.07,12.75,13.85,12.300000000000002,11.51,12.61,12.61,11.82,13.520000000000001
CYP,2019,10.7,10.02,10.7,11.8,10.26,9.46,10.57,10.57,9.77,11.48
CYP,2020,9.37,8.69,9.37,10.47,8.92,7.33,9.23,9.23,8.44,10.14
CYP,2021,9.3,8.62,9.3,10.4,8.86,7.27,9.17,9.17,8.37,10.07
CYP,2022,12.89,12.21,12.89,13.99,12.44,10.85,12.75,12.75,11.96,13.66
CYP,2023,11.95,11.27,11.95,13.05,11.51,9.92,11.81,11.81,11.02,12.72
CZE,2015,7.889999999999999,8.0,8.64,9.67,8.22,8.22,8.51,8.51,8.51,9.36
CZE,2016,7.51,7.61,8.25,9.29,7.84,7.84,8.13,8.13,8.13,8.98
CZE,2017,7.4799999999999995,7.589999999999999,8.22,9.25,7.81,7.81,8.1,8.1,8.1,8.95
CZE,2018,8.31,8.42,9.06,10.09,8.64,8.64,8.93,8.93,8.93,9.78
CZE,2019,7.15,7.25,7.889999999999999,8.92,7.480000000000001,7.480000000000001,7.769999999999999,7.769999999999999,7.769999999999999,8.62
CZE,2020,5.22,6.07,6.71,7.74,6.3,6.3,6.59,6.59,6.59,7.44
CZE,2021,5.599999999999999,6.45,7.09,8.12,6.669999999999999,6.669999999999999,6.96,6.96,6.96,7.81
CZE,2022,7.64,8.49,9.13,10.16,8.71,7.97,9.0,9.0,9.0,9.85
CZE,2023,8.07,8.92,9.56,10.59,8.4,8.4,9.43,9.43,9.43,10.28
DEU,2015,5.51,6.27,6.84,7.760000000000001,6.47,5.8,6.73,6.73,5.4,6.16
DEU,2016,5.17,5.93,6.5,7.42,5.46,5.46,6.39,6.39,5.06,5.82
DEU,2017,5.42,6.18,6.75,7.67,5.71,5.05,6.64,6.64,5.31,6.07
DEU,2018,6.04,6.8,7.37,8.29,7.0,5.669999999999999,7.260000000000001,7.260000000000001,5.93,6.69
DEU,2019,5.3,6.06,6.63,7.55,5.59,4.93,6.519999999999999,6.519999999999999,5.19,5.95
DEU,2020,4.26,5.02,5.59,6.51,4.55,3.88,5.47,5.47,4.14,4.9
DEU,2021,4.58,5.34,5.91,6.830000000000001,4.87,4.2,5.79,5.79,4.46,5.22
DEU,2022,6.07,6.83,7.4,8.32,6.36,5.69,7.28,7.28,5.95,6.71
DEU,2023,6.57,7.33,7.9,8.82,6.86,6.19,7.78,7.78,6.45,7.21
DNK,2015,5.9,6.73,7.34,8.34,6.94,6.94,7.220000000000001,7.220000000000001,5.78,6.6
DNK,2016,5.54,6.37,6.98,7.98,6.58,6.58,6.86,6.86,5.42,6.24
DNK,2017,5.82,6.65,7.2700000000000005,8.26,6.86,6.86,7.14,7.14,5.7,6.5200000000000005
DNK,2018,6.48,7.3,7.919999999999999,8.92,7.52,6.79,7.8,7.8,6.349999999999999,7.18
DNK,2019,5.69,6.519999999999999,7.13,8.13,6.730000000000001,6.01,7.01,7.01,5.57,6.39
DNK,2020,4.57,5.39,6.01,7.0,5.6,4.88,5.88,5.88,4.44,5.27
DNK,2021,4.92,5.75,6.36,7.36,5.96,5.24,6.239999999999999,6.239999999999999,4.8,5.62
DNK,2022,6.51,7.33,7.95,8.95,7.54,6.1,7.82,7.82,6.38,7.21
DNK,2023,7.07,7.89,8.51,9.51,8.11,6.67,8.39,8.39,6.95,7.77
DOM,2015,14.06,13.44,14.06,15.07,12.93,13.66,13.94,13.94,13.94,14.770000000000001
DOM,2016,13.6,12.98,13.6,14.61,11.74,13.19,13.48,13.48,13.48,14.31
DOM,2017,10.72,10.11,10.72,11.69,8.91,10.320000000000002,10.6,10.6,10.6,11.4
DOM,2018,12.18,11.57,12.18,13.160000000000002,10.37,11.78,12.06,12.06,12.06,12.87
DOM,2019,10.11,9.5,10.11,11.08,9.01,9.71,9.98,9.98,9.28,10.79
DOM,2020,8.87,8.27,8.87,9.84,7.07,8.48,8.75,8.75,7.34,8.85
DOM,2021,9.23,8.63,9.23,10.2,8.13,8.83,9.11,9.11,7.7,9.21
DOM,2022,13.27,12.66,13.27,14.25,12.16,12.87,13.15,13.15,11.73,13.25
DOM,2023,12.84,12.24,12.84,13.82,11.74,12.45,12.72,12.72,11.31,12.82
DZA,2015,14.58,13.95,14.58,15.600000000000001,14.17,14.17,14.449999999999998,14.449999999999998,14.449999999999998,15.300000000000002
DZA,2016,14.11,13.48,14.11,15.13,13.7,13.7,13.98,13.98,13.98,14.82
DZA,2017,14.0,13.38,14.0,15.01,13.6,13.6,13.88,13.88,13.88,14.709999999999999
DZA,2018,14.82,14.199999999999998,14.82,15.82,14.42,14.42,14.699999999999998,14.699999999999998,14.699999999999998,15.53
DZA,2019,12.960000000000003,12.34,12.960000000000003,13.970000000000002,12.56,12.56,12.84,12.84,12.84,13.669999999999998
DZA,2020,13.92,13.29,13.92,14.94,13.51,13.51,13.8,13.8,13.8,14.63
DZA,2021,11.96,11.339999999999998,11.96,12.96,11.56,11.56,11.839999999999998,11.839999999999998,11.839999999999998,12.660000000000002
DZA,2022,12.42,11.81,12.42,13.4,12.02,12.02,12.3,12.3,12.3,13.11
DZA,2023,14.18,13.57,14.18,15.18,13.78,13.78,14.06,14.06,14.06,14.88
ECU,2015,17.6,16.95,17.6,18.65,15.66,17.18,17.47,17.47,17.47,18.34
ECU,2016,17.08,16.43,17.08,18.13,15.15,16.66,16.95,16.95,16.95,17.82
ECU,2017,14.1,13.48,14.1,15.12,12.23,13.69,13.98,13.98,13.98,14.820000000000002
ECU,2018,16.3,15.67,16.3,17.32,14.42,15.89,16.18,16.18,16.18,17.02
ECU,2019,13.059999999999999,12.43,13.059999999999999,14.069999999999999,11.19,12.65,12.930000000000001,12.930000000000001,12.930000000000001,13.77
ECU,2020,14.97,14.33,14.97,15.99,13.06,14.55,14.84,14.84,14.84,15.69
ECU,2021,15.36,14.729999999999999,15.36,16.39,13.46,14.949999999999998,15.24,15.24,15.24,16.09
ECU,2022,24.47,23.82,24.47,25.52,22.52,24.04,24.34,24.34,24.34,25.21
ECU,2023,22.15,21.5,22.15,23.19,20.22,21.72,22.02,22.02,22.02,22.88
EGY,2015,17.84,17.19,17.84,18.91,15.880000000000003,17.41,17.71,17.71,17.71,18.59
EGY,2016,17.32,16.66,17.32,18.39,15.36,16.89,17.19,17.19,17.19,18.07
EGY,2017,14.36,13.72,14.36,15.39,12.45,13.94,14.23,14.23,14.23,15.08
EGY,2018,16.58,15.94,16.58,17.62,14.660000000000002,16.16,16.45,16.45,16.45,17.31
EGY,2019,12.31,11.68,12.31,13.34,10.41,11.9,12.18,12.18,12.18,13.029999999999998
EGY,2020,10.95,10.32,10.95,11.97,9.06,10.54,10.83,10.83,10.83,11.67
EGY,2021,11.339999999999998,10.71,11.339999999999998,12.36,9.45,10.93,11.22,11.22,11.22,12.06
EGY,2022,16.93,16.29,16.93,17.97,15.02,16.52,16.81,16.81,16.81,17.66
EGY,2023,18.82,18.18,18.82,19.87,16.89,18.4,18.69,18.69,18.69,19.56
ESP,2015,10.07,9.45,10.07,11.06,8.23,8.95,9.95,9.95,8.51,9.33
ESP,2016,9.67,9.05,9.67,10.66,7.83,8.55,9.55,9.55,8.11,8.93
ESP,2017,9.07,8.46,9.07,10.05,7.26,7.97,8.95,8.95,7.53,8.34
ESP,2018,9.75,9.14,9.75,10.729999999999999,7.94,8.65,9.63,9.63,8.21,9.02
ESP,2019,8.4,7.8,8.4,9.38,6.590000000000001,7.3,8.28,8.28,6.87,7.67
ESP,2020,7.24,6.63,7.24,8.22,5.43,5.43,7.12,7.12,5.7,6.51
ESP,2021,7.59,6.989999999999999,7.59,8.57,5.78,5.78,7.47,7.47,6.06,6.87
ESP,2022,10.25,9.64,10.25,11.23,8.43,8.43,10.13,10.13,8.71,9.52
ESP,2023,10.38,9.77,10.38,11.36,8.56,8.56,10.25,10.25,8.84,9.65
EST,2015,7.09,7.930000000000001,8.57,9.59,8.15,8.15,8.44,8.44,6.96,8.55
EST,2016,6.71,7.55,8.19,9.21,7.77,7.77,8.06,8.06,7.32,8.91
EST,2017,6.68,7.5200000000000005,8.15,9.17,7.74,7.74,8.03,8.03,7.29,8.13
EST,2018,7.510000000000001,8.35,8.98,10.0,8.57,8.57,8.86,8.86,8.12,8.96
EST,2019,6.44,7.290000000000001,7.92,8.94,7.51,7.51,7.790000000000001,7.790000000000001,6.32,7.9
EST,2020,5.27,6.11,6.75,7.76,6.33,5.59,6.62,6.62,5.14,5.99
EST,2021,5.64,6.48,7.12,8.14,6.7,5.97,6.989999999999999,6.989999999999999,5.510000000000001,6.36
EST,2022,7.75,8.59,9.23,10.25,8.81,7.34,9.1,9.1,7.62,9.21
EST,2023,8.14,8.98,9.62,10.64,9.2,7.73,9.49,9.49,8.01,8.86
ETH,2015,13.79,13.18,13.79,14.770000000000001,11.96,13.39,13.66,13.66,12.24,13.77
ETH,2016,13.33,12.72,13.33,14.31,11.51,12.93,13.21,13.21,11.78,13.31
ETH,2017,11.42,10.820000000000002,11.42,12.37,9.65,11.03,11.3,11.3,10.61,12.09
ETH,2018,13.07,12.47,13.07,14.03,11.29,12.68,12.949999999999998,12.949999999999998,12.25,13.050000000000002
ETH,2019,10.7,10.1,10.7,11.65,8.93,10.31,10.58,10.58,9.89,11.37
ETH,2020,10.33,9.74,10.33,11.29,8.56,9.95,10.22,10.22,9.52,10.31
ETH,2021,13.910000000000002,13.300000000000002,13.910000000000002,14.89,12.089999999999998,13.51,13.79,13.79,13.08,14.6
ETH,2022,22.02,21.4,22.02,23.04,20.15,21.61,21.9,21.9,21.17,22.73
ETH,2023,20.02,19.4,20.02,21.02,18.17,19.62,19.9,19.9,19.17,20.73
FIN,2015,6.62,7.46,8.09,9.11,6.21,7.680000000000001,7.970000000000001,7.970000000000001,7.23,8.81
FIN,2016,6.24,7.09,7.72,8.74,5.83,7.31,7.59,7.59,6.86,8.44
FIN,2017,6.35,7.19,7.82,8.84,5.94,7.410000000000001,7.7,7.7,6.22,7.8
FIN,2018,7.11,7.95,8.58,9.6,6.69,8.17,8.45,8.45,6.98,8.56
FIN,2019,6.16,7.0,7.63,8.65,5.75,7.220000000000001,7.5,7.5,6.03,7.610000000000001
FIN,2020,5.0,5.84,6.47,7.49,4.58,6.06,6.34,6.34,4.87,5.71
FIN,2021,5.37,6.21,6.84,7.86,4.95,6.43,6.71,6.71,5.24,6.080000000000001
FIN,2022,7.26,8.1,8.73,9.75,6.85,8.32,8.61,8.61,7.13,7.97
FIN,2023,7.73,8.57,9.2,10.22,7.32,8.79,9.07,9.07,7.6,8.44
FJI,2015,13.95,14.06,14.71,15.770000000000001,12.75,14.279999999999998,14.58,14.58,14.58,15.46
FJI,2016,14.24,13.58,14.24,15.3,12.27,13.81,14.11,14.11,14.11,14.98
FJI,2017,11.33,10.69,11.33,12.37,9.42,10.91,11.209999999999999,11.209999999999999,11.209999999999999,12.06
FJI,2018,12.86,12.21,12.86,13.9,10.94,12.44,12.729999999999999,12.729999999999999,12.729999999999999,13.589999999999998
FJI,2019,9.93,10.04,10.68,11.72,8.76,10.26,10.55,10.55,10.55,11.41
FJI,2020,8.64,8.75,9.39,10.42,7.47,8.97,9.26,9.26,9.26,10.11
FJI,2021,10.62,9.98,10.62,11.660000000000002,8.7,10.2,10.49,10.49,10.49,11.35
FJI,2022,14.77,14.88,15.52,16.57,13.59,15.1,15.39,15.39,15.39,16.26
FJI,2023,14.1,14.2,14.85,15.89,12.92,14.43,14.72,14.72,14.72,15.58
FRA,2015,7.849999999999999,7.25,7.849999999999999,8.82,6.06,7.46,7.73,7.73,7.04,8.53
FRA,2016,7.49,6.89,7.49,8.46,5.7,7.1,7.37,7.37,6.67,8.17
FRA,2017,7.53,6.94,7.53,8.5,5.75,7.14,7.410000000000001,7.410000000000001,6.72,8.21
FRA,2018,8.28,7.68,8.28,9.24,6.5,7.89,8.16,8.16,7.46,8.96
FRA,2019,7.340000000000001,6.74,7.340000000000001,8.3,5.56,6.95,7.220000000000001,7.220000000000001,5.83,7.32
FRA,2020,6.23,5.63,6.23,7.19,4.45,5.84,6.11,6.11,4.72,6.21
FRA,2021,6.57,5.98,6.57,7.54,4.79,6.18,6.46,6.46,5.06,6.55
FRA,2022,8.45,7.85,8.45,9.41,6.66,7.36,8.33,8.33,6.93,8.43
FRA,2023,8.85,8.25,8.85,9.82,7.07,7.76,8.73,8.73,7.34,8.83
GAB,2015,13.79,13.18,13.79,14.770000000000001,11.96,13.39,13.66,13.66,13.66,14.479999999999999
GAB,2016,13.33,12.72,13.33,14.31,11.51,12.93,13.21,13.21,13.21,14.02
GAB,2017,13.6,12.99,13.6,14.570000000000002,11.790000000000001,13.2,13.48,13.48,13.48,14.28
GAB,2018,17.09,16.48,17.09,18.08,15.26,16.69,16.97,16.97,16.97,17.79
GAB,2019,13.55,12.940000000000001,13.55,14.529999999999998,11.73,13.15,13.430000000000001,13.430000000000001,13.430000000000001,14.24
GAB,2020,12.14,11.54,12.14,13.12,10.34,11.75,12.02,12.02,12.02,12.83
GAB,2021,12.5,11.9,12.5,13.479999999999999,10.699999999999998,12.11,12.38,12.38,12.38,13.19
GAB,2022,19.42,18.8,19.42,20.41,17.57,19.01,19.29,19.29,19.29,20.12
GAB,2023,17.87,17.26,17.87,18.86,16.05,17.47,17.75,17.75,17.75,18.57
GBR,2015,6.35,7.16,7.760000000000001,8.73,7.37,7.37,7.639999999999999,7.639999999999999,6.23,7.04
GBR,2016,5.99,6.8,7.4,8.37,7.0,6.3,7.28,7.28,5.87,6.67
GBR,2017,6.18,6.99,7.589999999999999,8.56,7.2,6.49,7.47,7.47,6.06,6.87
GBR,2018,6.94,7.739999999999999,8.34,9.31,7.95,7.25,8.22,8.22,6.82,7.62
GBR,2019,5.99,6.790000000000001,7.389999999999999,8.37,7.0,6.3,7.269999999999999,7.269999999999999,5.87,6.67
GBR,2020,4.97,5.77,6.37,7.34,5.98,5.28,6.25,6.25,4.85,5.65
GBR,2021,5.31,6.12,6.72,7.69,6.330000000000001,5.62,6.599999999999999,6.599999999999999,5.19,6.0
GBR,2022,7.27,8.07,8.67,9.65,8.28,7.58,8.55,8.55,7.15,7.95
GBR,2023,7.66,8.46,9.06,10.04,8.67,7.97,8.94,8.94,7.54,8.34
GEO,2015,13.67,12.99,13.67,14.76,11.65,13.23,13.53,13.53,13.53,14.43
GEO,2016,13.2,12.53,13.2,14.29,11.18,12.76,13.07,13.07,13.07,13.97
GEO,2017,11.09,10.429999999999998,11.09,12.17,9.1,10.66,10.959999999999999,10.959999999999999,10.959999999999999,11.85
GEO,2018,12.520000000000001,11.85,12.520000000000001,13.589999999999998,10.52,12.08,12.38,12.38,12.38,13.270000000000001
GEO,2019,10.5,9.84,10.5,11.58,8.51,10.07,10.37,10.37,10.37,11.26
GEO,2020,9.19,8.52,9.19,10.27,7.2,8.75,9.06,9.06,9.06,9.95
GEO,2021,9.6,8.93,9.6,10.68,7.61,9.17,9.47,9.47,9.47,10.36
GEO,2022,13.51,12.84,13.51,14.59,11.51,13.07,13.38,13.38,13.38,14.27
GEO,2023,13.28,12.61,13.28,14.36,11.28,12.84,13.15,13.15,13.15,14.04
GGY,2015,9.43,8.68,9.43,10.64,8.94,8.94,9.28,9.28,9.28,10.28
GGY,2016,9.01,8.26,9.01,10.22,8.52,8.52,8.86,8.86,8.86,9.86
GGY,2017,9.429999999999998,8.68,9.429999999999998,10.64,8.94,8.94,9.28,9.28,9.28,10.28
GGY,2018,10.34,9.59,10.34,11.550000000000002,9.85,9.85,10.19,10.19,10.19,11.19
GGY,2019,10.21,9.46,10.21,11.42,9.72,9.72,10.06,10.06,10.06,11.06
GGY,2020,7.17,6.42,7.17,8.38,6.68,6.68,7.02,7.02,7.02,8.02
GGY,2021,8.25,7.5,8.25,9.46,7.760000000000001,7.760000000000001,8.1,8.1,8.1,9.1
GGY,2022,9.48,8.73,9.48,10.69,8.99,8.99,9.33,9.33,9.33,10.33
GGY,2023,11.3,10.55,11.3,12.51,10.81,10.81,11.15,11.15,11.15,12.15
