,,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC,WACC
Technology,,Bioenergy,Gas,Gas CCUS,Geothermal,Hydro,Solar,Tidal,Wave,Wind,Wind Offshore
Country code,Year,,,,,,,,,,
ARG,2023,23.77,23.15,23.77,24.76,21.92,23.36,23.64,23.64,22.2,23.75
ARM,2015,14.899999999999999,14.229999999999999,14.899999999999999,15.970000000000002,12.91,14.46,14.76,14.76,14.76,15.649999999999999
ARM,2016,14.42,13.75,14.42,15.49,12.43,13.98,14.29,14.29,14.29,15.17
ARM,2017,12.53,11.87,12.53,13.59,10.570000000000002,12.1,12.4,12.4,12.4,13.27
ARM,2018,14.29,13.64,14.29,15.35,12.33,13.87,14.160000000000002,14.160000000000002,14.160000000000002,15.04
ARM,2019,10.85,10.19,10.85,11.9,8.9,10.42,10.72,10.72,10.72,11.59
ARM,2020,9.53,8.88,9.53,10.59,7.59,9.11,9.4,9.4,9.4,10.27
ARM,2021,9.93,9.28,9.93,10.979999999999999,7.989999999999999,8.75,9.8,9.8,9.8,10.67
ARM,2022,14.21,13.55,14.21,15.26,12.25,13.01,14.08,14.08,14.08,14.95
ARM,2023,13.8,13.15,13.8,14.86,11.85,12.61,13.67,13.67,13.67,14.54
AUS,2015,6.84,6.27,6.84,7.760000000000001,5.8,6.47,6.72,6.72,6.06,7.48
AUS,2016,6.5,5.93,6.5,7.42,4.8,6.13,6.38,6.38,5.72,6.48
AUS,2017,6.75,6.18,6.75,7.67,5.71,5.71,6.64,6.64,5.97,6.7299999999999995
AUS,2018,7.37,6.8,7.37,8.29,5.66,6.330000000000001,7.25,7.25,5.919999999999999,7.349999999999999
AUS,2019,6.63,6.06,6.63,7.55,5.59,4.93,6.51,6.51,5.18,6.610000000000001
AUS,2020,5.58,5.01,5.58,6.5,4.55,3.88,5.47,5.47,4.14,5.56
AUS,2021,5.900000000000001,5.33,5.900000000000001,6.82,4.87,4.2,5.79,5.79,4.46,5.22
AUS,2022,7.39,6.82,7.39,8.31,5.69,5.69,7.28,7.28,5.95,6.71
AUS,2023,7.89,7.32,7.89,8.81,6.85,6.19,7.78,7.78,6.45,7.21
AUT,2015,6.41,7.220000000000001,7.83,8.81,6.01,7.430000000000001,7.71,7.71,6.28,7.809999999999999
AUT,2016,6.04,6.85,7.46,8.44,5.64,7.06,7.34,7.34,5.92,7.44
AUT,2017,6.13,6.95,7.55,8.53,5.74,7.160000000000001,7.43,7.43,6.01,7.53
AUT,2018,6.87,7.68,8.29,9.27,6.47,7.89,8.17,8.17,6.75,8.27
AUT,2019,5.95,6.76,7.37,8.35,5.55,6.970000000000001,7.25,7.25,5.83,6.639999999999999
AUT,2020,4.83,5.64,6.25,7.23,4.43,5.85,6.13,6.13,4.71,6.23
AUT,2021,5.18,5.989999999999999,6.599999999999999,7.580000000000001,4.78,5.489999999999999,6.48,6.48,5.06,5.87
AUT,2022,7.02,7.83,8.44,9.42,6.62,7.33,8.31,8.31,6.9,7.71
AUT,2023,8.17,8.27,8.88,9.86,7.06,7.06,8.75,8.75,7.34,8.15
AZE,2015,11.42,10.78,11.42,12.46,9.5,11.0,11.29,11.29,11.29,12.15
AZE,2016,11.0,10.35,11.0,12.04,9.07,10.58,10.87,10.87,10.87,11.73
AZE,2017,10.67,10.03,10.67,11.709999999999999,8.76,10.25,10.540000000000001,10.540000000000001,10.540000000000001,11.4
