,iso3_code,index,onshore_wacc,offshore_wacc,solar_pv_wacc
0,AND,1,,,
1,ARE,2,6.876451216133777,7.876451216133777,6.155399050565631
2,AFG,3,,,
3,ATG,4,,,
4,AIA,5,,,
5,ALB,6,10.491571256059173,11.491571256059173,10.36119664933263
6,ARM,7,9.276401671350246,10.276401671350246,8.816642677574016
7,AGO,8,11.518897954084062,12.518897954084062,11.536290766455295
8,ARG,9,14.63974880511538,15.63974880511538,15.347232985818561
9,ASM,10,,,
10,AUT,11,5.114089679887917,6.114089679887917,5.075132278513968
11,AUS,12,4.451358461705295,5.451358461705295,3.72310392129035
12,ABW,13,,,
13,ALA,14,,,
14,AZE,15,8.349999153223123,9.349999153223123,8.21641700935469
15,BIH,16,12.690223278301872,13.690223278301872,12.702768307679115
16,BRB,17,13.65845910219647,14.65845910219647,13.117627401000231
17,BGD,18,9.54465923061573,10.54465923061573,9.434442244423984
18,BEL,19,4.776958000852821,5.776958000852821,5.075710384648872
19,BFA,20,12.222003600715635,13.222003600715635,11.141082751264822
20,BGR,21,7.568459870563611,8.568459870563611,6.843083480570632
21,BHR,22,12.628964672325374,13.628964672325374,12.547623039904959
22,BDI,23,,,
23,BEN,24,9.336122873878507,10.336122873878507,9.1575136714549
24,BLM,25,,,
25,BMU,26,,,
26,BRN,27,6.944031152753048,7.944031152753048,6.7764825427193625
27,BOL,28,11.992322492898577,12.992322492898577,12.075926438385153
28,BES,29,,,
29,BRA,30,6.658879143501152,7.658879143501152,6.843345323849059
30,BHS,31,12.104811311838464,13.104811311838464,12.115745546067007
31,BTN,32,,,
32,BVT,33,,,
33,BWA,34,7.265839615614621,8.26583961561462,7.100527037428494
34,BLR,35,20.98623808678422,21.98623808678422,21.441901492488704
35,BLZ,36,16.796448171259165,17.796448171259165,16.747409975801105
36,CAN,37,5.049022310560169,6.049022310560169,5.050042877824575
37,CCK,38,,,
38,COD,39,11.055703168829323,12.055703168829323,11.07719068342033
39,CAF,40,,,
40,COG,41,13.619033805895574,14.619033805895574,13.793943965298054
41,CHE,42,5.773171027208114,6.773171027208114,5.001481787563048
42,CIV,43,8.66276048228001,9.66276048228001,8.476854501352557
43,COK,44,,,
44,CHL,45,5.298080517134555,6.298080517134555,4.354424662295936
45,CMR,46,11.606773680157332,12.606773680157332,11.650585096135504
46,CHN,47,5.556995723648233,6.556995723648233,5.471520793387836
47,COL,48,6.51186418258127,7.51186418258127,6.221513890581637
