Technology,Country,Country code,Year,WACC,,
Solar,South Africa,ZAF,2019,8.6,,
Solar,South Africa,ZAF,2021,7.2,,
Solar,Brazil,BRA,2019,12.6,,
Solar,Brazil,BRA,2021,15.3,,
Solar,India,IND,2019,9.6,,
Solar,India,IND,2021,9.6,,
Solar,Indonesia,IDN,2019,10.3,,
Solar,Indonesia,IDN,2021,10.3,,
Solar,Mexico,MEX,2019,13.2,,
Solar,Mexico,MEX,2021,12.5,,
