WEO Country Code,Country code,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
283,PAN,Panama,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,18725.739,19369.476,20092.016,21058.012,22070.452,23131.568,24243.702,2022
853,PNG,Papua New Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2524.633,2530.37,2550.861,2569.773,2599.04,2638.319,2676.699,2021
288,PRY,Paraguay,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5806.988,5984.287,6191.214,6537.37,6804.303,7084.542,7377.676,2022
293,PER,Peru,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,7932.905,8290.943,8566.977,8839.338,9115.392,9396.777,9684.88,2017
566,PHL,Philippines,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3867.672,4130.275,4414.976,4730.267,5065.527,5463.058,5895.856,2023
964,POL,Poland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,21995.995,23013.882,24143.698,25646.252,26976.259,28087.029,29259.126,2023
182,PRT,Portugal,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,27880.066,28969.288,29982.563,31234.692,32506.273,33829.599,35153.429,2023
359,PRI,Puerto Rico,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,36369.133,37171.719,38203.077,39415.171,41312.057,42902.328,44476.892,2022
453,QAT,Qatar,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,78696.207,81399.515,83381.717,88598.208,94837.145,98586.983,101321.439,2022
968,ROU,Romania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,18175.989,19529.841,20693.27,22083.359,23598.49,25114.876,26635.981,2022
922,RUS,Russia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13647.814,14391.176,14659.325,14883.648,15145.817,15426.145,15683.454,2022
714,RWA,Rwanda,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1038.642,988.74,998.04,1049.035,1107.422,1182.635,1271.273,2012
862,WSM,Samoa,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4478.194,4839.664,5096.051,5297.464,5458.296,5609.656,5772.242,2022
135,SMR,San Marino,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,57259.3,59405.352,60913.271,62676.202,64467.385,66334.868,68186.05,2021
716,STP,São Tomé and Príncipe,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2827.812,3167.295,3392.648,3460.34,3678.532,3905.489,4148.766,2011
456,SAU,Saudi Arabia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,32529.702,33039.932,34295.407,35285.513,36302.672,37238.233,38672.433,2022
722,SEN,Senegal,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1729.274,1899.731,2084.308,2179.998,2266.308,2395.366,2481.079,2020
942,SRB,Serbia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11327.13,12383.904,13324.37,14372.028,15446.766,16570.011,17823.626,2022
718,SYC,Seychelles,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,21575.319,21875.075,22973.109,24207.453,25616.316,27139.876,28741.897,2022
724,SLE,Sierra Leone,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,460.598,526.587,520.125,520.184,533.541,552.159,572.058,2023
576,SGP,Singapore,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,84734.277,88446.924,91685.215,95271.736,98816.02,102460.237,106420.978,2022
936,SVK,Slovak Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,24337.251,25934.992,27523.336,28952.303,30291.808,31712.624,33180.935,2023
961,SVN,Slovenia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,32233.058,34026.494,35429.874,37077.084,38790.722,40628.499,42508.741,2023
813,SLB,Solomon Islands,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2204.929,2252.633,2342.918,2427.663,2519.405,2611.12,2704.343,2019
726,SOM,Somalia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,727.678,775.944,818.894,863.598,909.831,957.141,1002.158,2013
199,ZAF,South Africa,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6138.248,5974.912,6067.003,6182.388,6318.676,6444.031,6572.774,2022
733,SSD,South Sudan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,485.913,421.857,439.547,447.72,462.768,491.563,544.404,2008
184,ESP,Spain,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,33071.349,34045.166,35072.464,35852.484,36646.005,37526.88,38428.381,2023
524,LKA,Sri Lanka,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,,,,,,,,2020
361,KNA,St. Kitts and Nevis,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,22366.128,23705.137,25187.73,26634.181,27966.676,29313.166,30732.485,2021
362,LCA,St. Lucia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,13545.906,14101.38,14660.583,15197.064,15711.662,16243.685,16793.723,2022
364,VCT,St. Vincent and the Grenadines,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,9377.364,10150.323,10745.206,11254.526,11776.52,12322.725,12894.264,2016
732,SDN,Sudan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,536.922,546.707,544.379,546.112,542.75,536.893,523.605,2011
366,SUR,Suriname,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5885.181,6702.27,7000.943,7177.885,7462.615,7688.594,8006.5,2022
144,SWE,Sweden,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,56224.808,58528.523,60672.785,62869.958,65252.047,67648.9,70143.702,2023
146,CHE,Switzerland,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,100413.067,105668.981,108602.544,113415.756,116978.372,122106.972,125914.284,2022
463,SYR,Syria,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,,,,,,,,2010
528,TWN,Taiwan Province of China,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,32443.705,34431.965,36649.723,38602.152,40453.316,41836.924,43103.977,2023
923,TJK,Tajikistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1183.908,1271.387,1362.682,1461.976,1567.952,1675.094,1790.111,2014
738,TZA,Tanzania,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1254.229,1220.356,1282.112,1355.058,1446.146,1546.871,1654.152,2012
578,THA,Thailand,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,7337.194,7811.598,8153.025,8608.04,9146.988,9639.942,10091.39,2022
537,TLS,Timor-Leste,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1730.627,1453.668,1540.034,1627.065,1717.616,1813.636,1915.582,2019
742,TGO,Togo,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,998.245,1058.319,1109.584,1163.317,1220.298,1280.209,1343.708,2022
866,TON,Tonga,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5487.667,5840.151,6112.257,6311.946,6515.298,6748.674,6981.651,2020
369,TTO,Trinidad and Tobago,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,19801.012,19861.182,20562.165,20845.424,21289.364,21885.524,22476.591,2021
744,TUN,Tunisia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4191.62,4435.001,4492.333,4637.085,4686.354,4685.984,4702.122,2019
186,TUR,Türkiye,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,12849,12764.707,12551.425,12942.701,13298.255,13656.204,14010.767,2023
925,TKM,Turkmenistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11833.107,12412.043,13329.488,14365.972,15517.968,16793.897,18202.607,2004
869,TUV,Tuvalu,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5722.541,6001.056,6300.646,6571.578,6896.939,7217.367,7542.866,2017
746,UGA,Uganda,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1139.3,1201.968,1286.035,1350.667,1411.364,1491.849,1612.488,2021
926,UKR,Ukraine,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5337.491,5662.948,5641.731,5773.993,5982.552,6303.601,6648.878,2020
466,ARE,United Arab Emirates,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,51908.699,53916.025,55781.488,58139.358,60895.294,64038.482,67538.607,2021
112,GBR,United Kingdom,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,49098.977,51074.793,53627.266,56759.134,59870.371,63279.415,66911.1,2020
111,USA,United States,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,81632.253,85372.686,87978.472,90902.779,94011.701,97230.612,100579.865,2023
298,URY,Uruguay,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,21656.979,23087.682,24044.448,25033.016,26088.201,27229.474,28431.828,2022
927,UZB,Uzbekistan,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2522.757,2665.812,2930.961,3219.907,3527.467,3865.305,4198.041,2023
846,VUT,Vanuatu,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3501.24,3733.74,3919.608,4060.683,4201.47,4326.453,4455.154,2020
299,VEN,Venezuela,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3659.195,3867.439,3968.917,,,,,2010
582,VNM,Vietnam,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4324.049,4622.544,4977.119,5339.955,5722.016,6123.065,6542.783,2022
487,WBG,West Bank and Gaza,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3396.263,,,,,,,2022
474,YEM,Yemen,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,540.765,486.382,482.333,540.299,615.081,658.072,690.577,2022
754,ZMB,Zambia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1380.974,1413.421,1493.054,1573.374,1662.791,1756.875,1853.015,2022
698,ZWE,Zimbabwe,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1993.038,2087.614,2103.128,2130.658,2156.633,2185.572,2210.142,2017
,,,,,,,,,,,,,,
International Monetary Fund World Economic Outlook Database April 2024,,,,,,,,,,,,,,
