WEO Country Code,Country code,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2023,2024,2025,2026,2027,2028,2029,Estimates Start After
522,KHM,Cambodia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2460.351,2627.767,2807.731,3001.602,3205.566,3417.14,3633.077,2022
622,CMR,Cameroon,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1711.341,1814.944,1919.991,2010.068,2099.821,2178.16,2263.404,2022
156,CAN,Canada,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,53547.719,54866.046,57021.076,58907.323,60729.072,62636.191,64652.555,2022
626,CAF,Central African Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,514.097,537.601,559.462,580.287,598.99,617.372,637.962,2021
628,TCD,Chad,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,976.128,1014.082,1038.891,1066.295,1096.552,1130.074,1165.794,2022
228,CHL,Chile,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,16815.783,16616.231,18545.759,19258.396,20009.758,20787.49,21566.944,2020
924,CHN,China,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,12513.871,13136.482,14037.338,14928.761,15833.571,16781.705,17704.741,2022
233,COL,Colombia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6971.669,7327.118,7525.465,7776.7,8099.661,8435.699,8775.072,2023
632,COM,Comoros,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1352.918,1384.485,1421.304,1460.721,1493.222,1522.976,1552.404,2022
636,COD,Democratic Republic of the Congo,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,673.033,714.763,779.729,835.574,899.209,954.074,1010.148,0
634,COG,Republic of Congo,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2349.952,2456.868,2502.076,2562.217,2637.094,2723.138,2833.752,2020
238,CRI,Costa Rica,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,16390.222,18030.977,19031.469,19903.189,20864.865,21876.331,22912.308,2022
662,CIV,Côte d'Ivoire,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,2572.145,2717.404,2854.081,3005.128,3157.044,3314.728,3484.257,2021
960,HRV,Croatia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,21347.327,22966.106,24111.468,25391.013,26633.582,27935.496,29259.664,2022
423,CYP,Cyprus,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,34956.733,37148.586,38664.883,40356.372,42157.386,43961.91,45757.884,2023
935,CZE,Czech Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,30599.595,29800.665,30956.06,32303.459,33741.764,35285.909,36869.617,2022
128,DNK,Denmark,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,68299.821,68897.547,71127.031,73789.087,76475.599,79283.332,82204.806,2022
611,DJI,Djibouti,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3906.67,4183.97,4464.705,4774.774,5084.772,5419.734,5717.972,2021
321,DMA,Dominica,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,8837.332,9455.158,10012.808,10495.588,10963.586,11451.69,11901.567,2011
243,DOM,Dominican Republic,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,11186.956,11773.566,12491.628,13259.277,14094.6,14985.791,15925.3,2019
248,ECU,Ecuador,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6581.574,6566.926,6625.886,6761.125,6912.882,7086.597,7268.168,2022
469,EGY,Egypt,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,3727.657,3224.868,2991.097,3337.352,3727.762,4136.774,4534.357,2022
253,SLV,El Salvador,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,5349.48,5537.203,5792.099,6047.127,6302.705,6558.171,6825.517,2022
642,GNQ,Equatorial Guinea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,6659.505,6733.327,6558.884,6491.055,6606.787,6656.289,6820.576,2015
643,ERI,Eritrea,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,,,,,,,,2006
939,EST,Estonia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,29838.985,31854.782,33346.951,35015.7,36758.507,38651.425,40707.171,2023
734,SWZ,Eswatini,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,4184.275,4323.957,4464.033,4600.854,4757.106,4897.418,4997.846,2017
644,ETH,Ethiopia,Gross domestic product per capita current prices,U.S. dollars,Units,See notes for:  Gross domestic product current prices (National currency) Population (Persons).,1511.217,1909.984,2163.217,2394.835,2626.668,2883.624,3171.186,2022
